INFO:root:Model on GPU is True
INFO:root:LSTM Base: hidden_dim: 64, n_epochs: 740, batch_size: 1024.
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:[1/740] Training loss: 4.6183	 Validation loss: 2.7293
INFO:root:[250/740] Training loss: 0.0053	 Validation loss: 0.0302
INFO:root:[255/740] Training loss: 0.0060	 Validation loss: 0.0370
INFO:root:[260/740] Training loss: 0.0055	 Validation loss: 0.0333
INFO:root:[265/740] Training loss: 0.0052	 Validation loss: 0.0265
INFO:root:[270/740] Training loss: 0.0076	 Validation loss: 0.0371
INFO:root:[275/740] Training loss: 0.0041	 Validation loss: 0.0276
INFO:root:[280/740] Training loss: 0.0051	 Validation loss: 0.0293
INFO:root:[285/740] Training loss: 0.0052	 Validation loss: 0.0331
INFO:root:[290/740] Training loss: 0.0047	 Validation loss: 0.0312
INFO:root:[295/740] Training loss: 0.0058	 Validation loss: 0.0288
INFO:root:[300/740] Training loss: 0.0057	 Validation loss: 0.0323
INFO:root:[305/740] Training loss: 0.0039	 Validation loss: 0.0277
INFO:root:[310/740] Training loss: 0.0081	 Validation loss: 0.0314
INFO:root:[315/740] Training loss: 0.0036	 Validation loss: 0.0270
INFO:root:[320/740] Training loss: 0.0065	 Validation loss: 0.0288
INFO:root:[325/740] Training loss: 0.0058	 Validation loss: 0.0325
INFO:root:[330/740] Training loss: 0.0041	 Validation loss: 0.0336
INFO:root:[335/740] Training loss: 0.0069	 Validation loss: 0.0268
INFO:root:[340/740] Training loss: 0.0067	 Validation loss: 0.0324
INFO:root:[345/740] Training loss: 0.0053	 Validation loss: 0.0325
INFO:root:[350/740] Training loss: 0.0049	 Validation loss: 0.0329
INFO:root:[355/740] Training loss: 0.0052	 Validation loss: 0.0272
INFO:root:[360/740] Training loss: 0.0064	 Validation loss: 0.0341
INFO:root:[365/740] Training loss: 0.0038	 Validation loss: 0.0279
INFO:root:[370/740] Training loss: 0.0070	 Validation loss: 0.0331
INFO:root:[375/740] Training loss: 0.0036	 Validation loss: 0.0291
INFO:root:[380/740] Training loss: 0.0046	 Validation loss: 0.0310
INFO:root:[385/740] Training loss: 0.0080	 Validation loss: 0.0280
INFO:root:[390/740] Training loss: 0.0031	 Validation loss: 0.0281
INFO:root:[395/740] Training loss: 0.0069	 Validation loss: 0.0365
INFO:root:[400/740] Training loss: 0.0061	 Validation loss: 0.0342
INFO:root:[405/740] Training loss: 0.0036	 Validation loss: 0.0275
INFO:root:[410/740] Training loss: 0.0105	 Validation loss: 0.0431
INFO:root:[415/740] Training loss: 0.0050	 Validation loss: 0.0279
INFO:root:[420/740] Training loss: 0.0030	 Validation loss: 0.0298
INFO:root:[425/740] Training loss: 0.0057	 Validation loss: 0.0329
INFO:root:[430/740] Training loss: 0.0040	 Validation loss: 0.0326
INFO:root:[435/740] Training loss: 0.0044	 Validation loss: 0.0291
INFO:root:[440/740] Training loss: 0.0061	 Validation loss: 0.0328
INFO:root:[445/740] Training loss: 0.0048	 Validation loss: 0.0330
INFO:root:[450/740] Training loss: 0.0079	 Validation loss: 0.0292
INFO:root:[455/740] Training loss: 0.0038	 Validation loss: 0.0295
INFO:root:[460/740] Training loss: 0.0042	 Validation loss: 0.0328
INFO:root:[465/740] Training loss: 0.0062	 Validation loss: 0.0346
INFO:root:[470/740] Training loss: 0.0036	 Validation loss: 0.0307
INFO:root:[475/740] Training loss: 0.0058	 Validation loss: 0.0346
INFO:root:[480/740] Training loss: 0.0055	 Validation loss: 0.0326
INFO:root:[485/740] Training loss: 0.0035	 Validation loss: 0.0284
INFO:root:[490/740] Training loss: 0.0056	 Validation loss: 0.0327
INFO:root:[495/740] Training loss: 0.0067	 Validation loss: 0.0360
INFO:root:[500/740] Training loss: 0.0030	 Validation loss: 0.0295
INFO:root:[505/740] Training loss: 0.0057	 Validation loss: 0.0326
INFO:root:[510/740] Training loss: 0.0086	 Validation loss: 0.0367
INFO:root:[515/740] Training loss: 0.0025	 Validation loss: 0.0310
INFO:root:[520/740] Training loss: 0.0048	 Validation loss: 0.0321
INFO:root:[525/740] Training loss: 0.0054	 Validation loss: 0.0375
INFO:root:[530/740] Training loss: 0.0031	 Validation loss: 0.0321
INFO:root:[535/740] Training loss: 0.0043	 Validation loss: 0.0343
INFO:root:[540/740] Training loss: 0.0037	 Validation loss: 0.0296
INFO:root:[545/740] Training loss: 0.0058	 Validation loss: 0.0377
INFO:root:[550/740] Training loss: 0.0042	 Validation loss: 0.0336
INFO:root:[555/740] Training loss: 0.0033	 Validation loss: 0.0337
INFO:root:[560/740] Training loss: 0.0072	 Validation loss: 0.0317
INFO:root:[565/740] Training loss: 0.0048	 Validation loss: 0.0378
INFO:root:[570/740] Training loss: 0.0046	 Validation loss: 0.0339
INFO:root:[575/740] Training loss: 0.0066	 Validation loss: 0.0343
INFO:root:[580/740] Training loss: 0.0049	 Validation loss: 0.0341
INFO:root:[585/740] Training loss: 0.0038	 Validation loss: 0.0341
INFO:root:[590/740] Training loss: 0.0058	 Validation loss: 0.0331
INFO:root:[595/740] Training loss: 0.0043	 Validation loss: 0.0352
INFO:root:[600/740] Training loss: 0.0049	 Validation loss: 0.0338
INFO:root:[605/740] Training loss: 0.0060	 Validation loss: 0.0363
INFO:root:[610/740] Training loss: 0.0036	 Validation loss: 0.0318
INFO:root:[615/740] Training loss: 0.0043	 Validation loss: 0.0357
INFO:root:[620/740] Training loss: 0.0055	 Validation loss: 0.0322
INFO:root:[625/740] Training loss: 0.0038	 Validation loss: 0.0336
INFO:root:[630/740] Training loss: 0.0046	 Validation loss: 0.0352
INFO:root:[635/740] Training loss: 0.0061	 Validation loss: 0.0362
INFO:root:[640/740] Training loss: 0.0035	 Validation loss: 0.0317
INFO:root:[645/740] Training loss: 0.0073	 Validation loss: 0.0390
INFO:root:[650/740] Training loss: 0.0076	 Validation loss: 0.0344
INFO:root:[655/740] Training loss: 0.0026	 Validation loss: 0.0334
INFO:root:[660/740] Training loss: 0.0044	 Validation loss: 0.0350
INFO:root:[665/740] Training loss: 0.0052	 Validation loss: 0.0394
INFO:root:[670/740] Training loss: 0.0039	 Validation loss: 0.0340
INFO:root:[675/740] Training loss: 0.0048	 Validation loss: 0.0351
INFO:root:[680/740] Training loss: 0.0065	 Validation loss: 0.0417
INFO:root:[685/740] Training loss: 0.0044	 Validation loss: 0.0335
INFO:root:[690/740] Training loss: 0.0045	 Validation loss: 0.0353
INFO:root:[695/740] Training loss: 0.0038	 Validation loss: 0.0355
INFO:root:[700/740] Training loss: 0.0047	 Validation loss: 0.0343
INFO:root:[705/740] Training loss: 0.0050	 Validation loss: 0.0370
INFO:root:[710/740] Training loss: 0.0046	 Validation loss: 0.0359
INFO:root:[715/740] Training loss: 0.0049	 Validation loss: 0.0364
INFO:root:[720/740] Training loss: 0.0040	 Validation loss: 0.0364
INFO:root:[725/740] Training loss: 0.0046	 Validation loss: 0.0328
INFO:root:[730/740] Training loss: 0.0086	 Validation loss: 0.0452
INFO:root:[735/740] Training loss: 0.0040	 Validation loss: 0.0362
INFO:root:[740/740] Training loss: 0.0034	 Validation loss: 0.0334
Traceback (most recent call last):
  File "/opt/conda/lib/python3.7/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/opt/conda/lib/python3.7/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/opt/UserPrediction6DOF/__main__.py", line 45, in <module>
    APPLICATION.run()
  File "/opt/UserPrediction6DOF/application.py", line 91, in run
    self.run_lstm()
  File "/opt/UserPrediction6DOF/application.py", line 140, in run_lstm
    runner.run()
  File "/opt/UserPrediction6DOF/runners.py", line 376, in run
    predictions, values = opt.evaluate(test_loader_one, batch_size=1, n_features=self.input_dim)
  File "/opt/UserPrediction6DOF/lstm.py", line 343, in evaluate
    if self.cuda():
TypeError: 'bool' object is not callable
-------------------------------------------------------------------------
-------------------------------------------------------------------------
X_train (71999, 11), X_val (24000, 11), X_test(24000, 11), y_train (71999, 7), y_val (24000, 7), y_test (24000, 7)
